Go.	ទៅ។
Where are you?	តើនៅកន្លែងណា ?
Where are you?	តើឯងនៅណា ?
Where are you?	តើនៅណាហ្នឹង ?
Where are you?	នៅណាហ្នឹង ?
You are wrong.	អ្នកខុសហើយ ។
Are you hungry?	តើអ្នកឃ្លានទេ ?
Are you hungry?	ឃ្លានអត់ ?
Can I help you?	តើខ្ញុំអាចជួយអ្នកបានអត់ ?
Can I help you?	តើខ្ញុំអាចជួយអីបានទេ ?
Can I help you?	ខ្ញុំជួយអីបានអត់ ?
Do you love me?	តើអ្នកស្រលាញ់ខ្ញុំទេ ?
Do you love me?	តើអូនស្រលាញ់បងហេ៎ ?
Do you love me?	តើបងស្រលាញ់អូនអត់ ?
Go get changed.	ទៅផ្លាស់ខោអាវ។
Good afternoon.	ទិវាសួស្ដី ។
Happy New Year!	សួស្តី ឆ្នាំថ្មី !
Happy New Year!	រីករាយ ឆ្នាំថ្មី !
Happy New Year!	អបអរសាទរ ចូលឆ្នាំថ្មី !
I am in London.	ខ្ញុំនៅទីក្រុងឡុងដ៍ ។
I want to live.	ខ្ញុំចង់រស់។
I'd rather die.	ខ្ញុំចង់ស្លាប់ជាង។
I'm exercising.	ខ្ញុំ ហាត់ប្រាណ ។
It smells good!	ក្លិនវាគួរឱ្យឆ្ងាញ់ !
It smells good!	ធំក្លិនគួរឱ្យឆ្ងាញ់ !
It smells good!	ហិតក្លិនគួរឱ្យឆ្ងាញ់ !
It's up to you.	តាមចិត្តអ្នក។
Leave me alone!	ទុកខ្ញុំនៅម្នាក់ឯងបានហើយ !
Leave me alone!	ឱ្យខ្ញុំនៅម្នាក់់ឯង !
Leave me alone!	ទុកខ្ញុំនៅស្ងាត់សិន !
My tooth hurts.	ខ្ញុំឈឺធ្មេញ ។
She loves cats.	នាងស្រលាញ់ឆ្មា ។
Are you married?	តើអ្នករៀបការហើយ ?
Are you married?	តើលោករៀបការហើយឬនៅ ?
Are you married?	ឯងរៀបការហើយ ?
Cats catch mice.	ឆ្មាចាប់កណ្ដុរ ។
Do you trust me?	តើអ្នកជឿលើខ្ញុំទេ ?
He sounds angry.	គាត់ហាក់ដូចជាខឹង។
How is it going?	សុខសប្បាយអត់ ?
How old are you?	តើអ្នកមានអាយុប៉ុន្មាន ?
How old are you?	តើមានអាយុប៉ុន្មាន ?
How old are you?	តើអាយុប៉ុន្មានទៅ ?
How rude of you!	ឈ្លើយណាស់ !
I have to sleep.	ខ្ញុំ ត្រូវការដេក ។
I have two cats.	ខ្ញុំមានឆ្មាពីរ ។
I love swimming.	ខ្ញុំ ស្រលាញ់កីឡាហែលទឹក ។
It doesn't hurt.	អត់ឈឺ។
My book is here.	សៀវភៅខ្ញុំនៅទីនេះ។
She adores cats.	នាងស្រលាញ់ឆ្មា ។
There's no time.	អត់មានពេល ។
This dog is big.	ឆ្កែនេះ គឺធំ ។
Wash the dishes.	លាងចាន ។
What time is it?	តើវាម៉ោងប៉ុន្មានហើយ ?
What's her name?	តើគាត់ឈ្មោះអី?
What's his name?	តើគាត់ឈ្មោះអី?
Do you live here?	តើអ្នករស់នៅទីនេះ ?
Do you live here?	តើលោករស់នៅនេះ ?
Do you live here?	រស់នៅទីនេះមែន ?
He died suddenly.	គាត់ស្លាប់ដោយចៃដន្យ ។
How tall you are!	អ្នកខ្ពស់ណាស់ !
I am eating rice.	ខ្ញុំកំពុងញ៉ាំបាយ ។
I'm not a doctor.	ខ្ញុំមិនមែនជា គ្រូពេទ្យទេ ។
It's worth a try.	សាកមើលក៏បានដែរ ។
It's worth a try.	សាកមើលគ្រាន់បើជាង ។
Let's play cards.	តោះ យើងលេងបៀរ ។
She smiled sadly.	នាងញញឹមលាយលំនិងទុក្ខដែរ ។
There's no water.	អត់មានទឹក។
Tom is with Mary.	ថម នៅជាមួយ ម៉ារី ។
Tom loves soccer.	ថម ស្រលាញ់ កីឡាបាល់ទាត់ ។
What did you say?	ថាម៉េច?
What do you want?	តើអ្នកចង់បានអ្វី ?
What do you want?	តើចង់បានអីហ្នឹង ?
What do you want?	តើឯងចង់បានអី ?
What do you want?	ចង់បានអី ?
What is his name?	តើគាត់ឈ្មោះអី?
What's your name?	តើអ្នកឈ្មោះអ្វី?
What's your name?	អ្នកឈ្មោះអី?
What's your name?	តើគាត់ឈ្មោះអី?
What's your name?	តើលោកឈ្មោះអី ?
Don't you like it?	អត់ចូលចិត្តវាទេ?
Her eyes are blue.	ភ្នែករបស់នាងពណ៌ខៀវ ។
I don't want meat.	ខ្ញុំមិនចង់បានសាច់ទេ ។
I have a headache.	ខ្ញុំឈឺឡាតែត ។
I have a headache.	ខ្ញុំឈឺក្បាល ។
I have a question.	ខ្ញុំមានសំនួរ។
I have a question.	ខ្ញុំមានសំណួរ។
I have a question.	ខ្ញុំមានសំនួរមួយ។
I have a question.	ខ្ញុំមានសំណួរមួយ។
I know a shortcut.	ខ្ញុំស្គាល់ផ្លូវកាត់ ។
It's not worth it.	វាមិនលើគ្នាទេ ។
Please wait a bit.	សូមចាំបន្តិច ។
Thanks for coming.	អរគុណ ដែលបានមកលេង ។
The cup was empty.	ពែងនេះគឺទទេស្អាត។
Tom returned home.	ថម ត្រឡប់ទៅផ្ទះវិញ ។
What do you think?	តើឯងគិតយ៉ាងណា ?
What is your name?	តើគាត់ឈ្មោះអី?
What is your name?	តើលោកឈ្មោះអី ?
What's the matter?	មានរឿងអី?
Where do you live?	តើអ្នករស់នៅឯណា ?
Where do you live?	តើលោករស់នៅឯណា ?
Where do you live?	តើអ្នករស់កន្លែងណា ?
Where is the food?	ម្ហូប នៅឯណា ?
Did she sleep well?	តើនាងគេងបានល្អហេ ?
Does it taste okay?	តើរស់ជាតិយ៉ាងម៉េចដែរ?
I don't have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
I don't have a cat.	ខ្ញុំអត់មានឆ្មា។
I don't understand.	ខ្ញុំ មិនយល់ទេ ។
I don't understand.	អត់យល់ ។
I have a toothache.	ខ្ញុំឈឺធ្មេញ ។
I like Korean food.	ខ្ញុំចូលចិត្ត ម្ហូបកូរ៉េ ។
I need to be alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
I want to be alone!	ខ្ញុំចង់នៅម្នាក់ឯង !
I'm sorry I'm late.	សុំទោសដែលខ្ញុំមកយឺត ។
It's not important.	អត់សំខាន់ទេ។
It's not important.	មិនសំខាន់ទេ។
My mother is angry.	ម៉ាក់ខ្ញុំខឹង។
There's no problem.	អត់បញ្ហា។
Tom likes swimming.	ថម ចូលចិត្តហែលទឹក។
What's the problem?	មានបញ្ហាអី?
Where are you from?	តើអ្នកជនជាតិអ្វី?
Where do I go then?	អញ្ចឹងខ្ញុំទៅណា?
Why are you crying?	តើហេតុអី្វអ្នកយំ ?
Why are you crying?	តើហេតុអីអូនយំ ?
Why are you crying?	តើមូលហេតុអីជាអ្នកយំ ?
Why are you crying?	ហេតុអីបានជាអូនយំ ?
Why are you crying?	ហេតុអីបានយំ ?
You like elephants.	អ្នកចូលចិត្តដំរី ។
Do you like bowling?	អ្នកចូលចិត្តលេងបោះប៊ូលទេ?
Don't do that again.	កុំធ្វើបែបហ្នឹងទៀត ។
I do not have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
I do not have a cat.	ខ្ញុំអត់មានឆ្មា។
I have a dictionary.	ខ្ញុំមានវចនានុក្រម។
I know you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
I will be back soon.	ខ្ញុំ នឹងមកវិញលឿន ។
I will be back soon.	ខ្ញុំ នឹងមកវិញឆាប់ៗនេះ ។
I will be back soon.	ខ្ញុំ នឹងត្រលប់មកឆាប់ៗនេះ ។
I'm a light sleeper.	ខ្ញុំគឺជាអ្នកគេងល្វាស ។
I'm fully recovered.	ខ្ញុំបានជាវិញទាំងស្រុង។
I've got a question.	ខ្ញុំមានសំនួរ។
I've got a question.	ខ្ញុំមានសំណួរ។
I've got a question.	ខ្ញុំមានសំនួរមួយ។
I've got a question.	ខ្ញុំមានសំណួរមួយ។
Kids like ice cream.	ក្មេងៗ ចូលចិត្តការ៉េម ។
Let's start working.	តោះយើងចាប់ផ្តើមធ្វើការ ។
The law was changed.	ច្បាប់ត្រូវបានប្តូរ។
There is no problem.	អត់បញ្ហា។
This was my mistake.	នេះជាកំហុសរបស់ខ្ញុំ ។
This was my mistake.	Anih ciə kɑmhoh bɑh ɲom.
Tom drinks too much.	ថម ផឹកស្រាច្រើនពេក ។
Tom drinks too much.	Tom pək sea cəən pek.
What are you saying?	តើនិយាយអីហ្នឹង ?
What are you saying?	តើលោកកំពុងនិយាយអី ?
What smells so good?	តើឈ្ងុយអីគេហ្នឹង ?
Where are you going?	តើលោកត្រូវការទៅណា ?
Where are you going?	តើឯងទៅណាហ្នឹង ?
Where are you going?	តើអ្នកទៅកន្លែងណា ?
Where are you going?	តើលោកត្រូវទៅណា ?
Where is the toilet?	បង្គន់នៅណា?
Your friend is here.	ពួកម៉ាករបស់អ្នកនៅទីនេះ។
Are you volunteering?	តើអ្នកកំពុងស្ម័គ្រចិត្តឬ?
Do you speak English?	តើអ្នកចេះនិយាយភាសាអង់គ្លេសទេ ?
I've got a toothache.	ខ្ញុំឈឺធ្មេញ ។
It doesn't bother me.	ខ្ញុំមិនប្រកាន់ទេ ។
It is already eleven.	ម៉ោងដប់មួយហើយ។
It was hot yesterday.	ម្សិលមិញក្តៅណាស់។
Please wait a moment.	សូមចាំបន្តិច ។
She has a good heart.	នាងមានចិត្តល្អ។
Thank you for coming.	អរគុណ ដែលបានមកលេង ។
The car turned right.	ឡានបត់ស្ដាំ ។
Tom is annoying Mary.	ថម កំពុងរំខាន ម៉ារី ។
Tom needs some sleep.	ថម ត្រូវការពេលគេងបន្តិច ។
Where is the problem?	បញ្ហានៅណា?
You aren't my mother.	អ្នកមិនមែនជាម្ដាយខ្ញុំទេ ។
Do not be so critical.	កុំរិះគន់គេពេក ។
Everyone loves sports.	មនុស្សទាំងអស់សុទ្ធតែ ស្រលាញ់ កីឡា ។
He will come tomorrow.	គាត់មកនៅថ្ងៃស្អែក ។
He will come tomorrow.	ថ្ងៃស្អែក គាត់នឹងមោ ។
How long did you stay?	តើអ្នកបានស្នាក់នៅរយៈពេលប៉ុន្មាន ?
I usually get up at 8.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
I want to go with you.	ខ្ញុំចង់ទៅជាមួយអ្នក។
He's probably sleeping.	គាត់ ប្រហែលកំពុងដេក ។
His handwriting is bad.	អក្សរសរសេរដៃរបស់គាត់អាក្រក់។
I am a college student.	ខ្ញុំគឺនិស្សិត។
I don't have any money.	ខ្ញុំមិនមានលុយទេ ។
I don't have any money.	ខ្ញុំអត់លុយទេ ។
I don't speak Japanese.	ខ្ញុំអត់និយាយភាសាជប៉ុនទេ។
I promise to work hard.	ខ្ញុំសន្យាថាខំធ្វើការ ។
I want to learn karate.	ខ្ញុំ ចង់រៀនក្បាច់គុន ការ៉ាតេដូរ ។
Tom can sleep anywhere.	ថម អាចដេកកន្លែងណាក៏បាន ។
Tom has three children.	ថម មានកូនបីនាក់។
Tom is a heavy sleeper.	ថម គឺជាអ្នកគេងស្កប់ស្កល់ ។
I don't have much money.	ខ្ញុំមិនមានលុយច្រើនទេ ។
I need to be left alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
She is already sleeping.	នាង កំពុងគេងហើយ ។
What do you want to eat?	តើអូនចង់ញ៉ាំអី ?
Do we need anything else?	តើយើងត្រូវការអីទៀតទេ ?
He speaks five languages.	Goat yiəy peam pʰiəsaa.
He speaks five languages.	គាត់និយាយប្រាំភាសា ។
How could you think that?	តើអ្នកអាចគិតថាយ៉ាងម៉េចដែរ ?
I know that you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
The book is on the table.	សៀវភៅ គឺនៅលើតុ ។
The book is on the table.	សៀវភៅនៅលើតុ ។
The book is on the table.	សៀវភៅទុកលើតុ ។
The room has two windows.	បន្ទប់នេះមានបង្អួចពីរ ។
Tom attended the wedding.	ថម ញ៉ាំការ ។
Tom felt a little guilty.	ថមមានទោសតិច។
Which sports do you like?	តើកីឡាអីដែលឯងចូលចិត្ត ?
He speaks French fluently.	គាត់និយាយបារាំងញាប់ ។
I don't understand at all.	ខ្ញុំ អត់យល់សោះ ។
I heard something outside.	ខ្ញុំបានឮសំឡេងអ្វីមួយនៅខាងក្រៅ។
I usually get up at eight.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
I'm sure you're very busy.	ខ្ញុំប្រាកដថា អ្នករវល់ណាស់ ។
Is it OK if I go in jeans?	តើវាមិនអីទេបើខ្ញុំទៅដោយស្លៀកខោកាប៊ូយ?
The king abused his power.	ស្តេចលោភនឹងអំណាច ។
The matter is all settled.	រឿងនេះត្រូវបានផ្សះផ្សារួចហើយ ។
Tom had Mary wash the car.	ថម ឱ្យ ម៉ារី លាងឡាន។
Tom put on his sunglasses.	ថម ពាក់វ៉ែនតារបស់គាត់ ។
He is very a dangerous man.	គាត់ជាបុរសដែលគួរឲ្យគ្រោះថ្នាក់ណាស់ ។
He speaks Chinese fluently.	គាត់និយាយចិនញាប់ ។
He speaks English fluently.	គាត់និយាយអង់គ្លេសញាប់ ។
I think Tom killed himself.	ខ្ញុំគិតថា ថម សម្លាប់ខ្លួន ។
It's late already. Go home.	ឥឡូវល្ងាចហើយ ទៅទះសិនចុះ ។
What are you talking about?	តើអ្នកកំពុងនិយាយអំពីអ្វី ?
What are you talking about?	និយាយរឿងអី ?
He may be on the next train.	ប្រហែលជាគាត់ជិះរថភ្លើងជើងក្រោយ ។
I think you need to see him.	ខ្ញុំគិតថាអ្នកត្រូវជួបគាត់។
Today we have a lot of food.	ថ្ងៃនេះយើង មានម្ហូបច្រើន។
Tom wants to eat fried rice.	ថម ចង់ញ៉ាំបាយឆា ។
What more could one ask for?	យើងត្រូវការអីទៀត ម៉េច ?
What sport do you like best?	តើកីឡាអីដែលឯងចូលចិត្ត ?
Do you want something to eat?	ចង់ញ៉ាំអីអត់ ?
Don't forget to bring it, OK?	កុំភ្លេចយកមកផងណា !
I don't want you to kill Tom.	ខ្ញុំអត់ចង់ឱ្យអ្នកសម្លាប់ ថម ទេ ។​
I'm very disappointed in you.	ខ្ញុំខកចិត្តអ្នកណាស់ ។
The king crushed his enemies.	ស្តេចផ្ចាញ់នឹងសត្រូវ ។
The paper is under the table.	ក្រដាសនៅក្រោមតុ ។
There is a full moon tonight.	យប់នេះមានព្រះច័ន្ទរះពេញណា ។
"Thank you." "You're welcome."	«អរគុណ» «អត់អីអេ៎»
I don't have any money at all.	ខ្ញុំអត់មានលុយសោះ ។
I don't know any martial arts.	ខ្ញុំ អត់ចេះក្បាច់គុនអីទេ ។
Is it you who'll buy the food?	តើឯងជាអ្នកទិញម្ហូប ?
She is married to a foreigner.	នាងបានរៀបការជាមួយជនបរទេស។
She is married to an American.	នាងបានរៀបការជាមួយជនជាតិអាមេរិក។
The king governed the country.	ស្តេចបានគ្រប់គ្រងប្រទេស។
We all know that you're angry.	យើងទាំងអស់ដឹងហើយថា ឯងខឹង ។
English is spoken in Singapore.	ភាសាអង់គ្លេសត្រូវបាននិយាយនៅប្រទេសសិង្ហបុរី។
I didn't want to humiliate Tom.	ខ្ញុំមិនចង់ធ្វើឱ្យ ថម អាម៉ាស់មុខទេ។
I didn't want to humiliate Tom.	ខ្ញុំមិនមានបំណង ធ្វើឱ្យ ថមអាម៉ាស់មុខទេ។
Please do not try this at home.	កុំសាកល្បងធ្វើបែបនេះនៅផ្ទះ ។
The children are already tired.	ក្មេងៗ គឺអស់កំលាំងហើយ ។
Tom fell off of his motorcycle.	ថម ដួលម៉ូតូ ។
We'll share our food with them.	យើងចែក ម្ហូបទៅពួកគេ ។
Would you come with me, please?	ទៅជាមួយខ្ញុំបានទេ?
You have to go to the hospital.	អ្នកត្រូវទៅមន្ទីរពេទ្យ។
Do you know who wrote this book?	តើអ្នកដឹងថានរណាបាននិពន្ធសៀភៅនេះ?
My older brother has a mustache.	បងញុំមានពុកមាត់ ។
The company employs 500 workers.	ក្រុមហ៊ុនជួលបុគ្គលិក ៥០០ នាក់ ។
The company employs 500 workers.	Kɑmhun cuul mnuh peam hɔɔy neak.
They're preparing a meal for us.	ពួកគេរៀបចំបាយទឹកសំរាប់យើង ។
Tom thought that was a bad idea.	ថម គិតថា នោះគឺជាគំនិតដ៏អាក្រក់ ។
I love you more than you love me.	ខ្ញុំស្រលាញ់អ្នកខ្លាំងជាងអ្នកស្រលាញ់ខ្ញុំ។
I only speak a little Vietnamese.	ខ្ញុំនិយាយភាសាវៀតណាមបានតែតិចតួចប៉ុណ្ណោះ ។
The lake is about 25 meters deep.	បឹងនេះមានជំរៅប្រហែល 25 ម៉ែត្រ។
This is a difficult math problem.	មួយនេះគឺជាចំណោតនៃគណិតវិទ្យាដ៏ពិបាក ។
We just ate sushi and drank beer.	ពួកយើងទើបតែញ៉ាំស៊ូស៊ី និងផឹកស្រាបៀរ។
You may choose any book you like.	អ្នកអាចជ្រើសរើសសៀវភៅមួយណាដែលអ្នកចូលចិត្តបាន។
Do you want me to get rid of this?	តើអ្នកចង់ឱ្យខ្ញុំហ្នឹងបោះចោលអ្វីមួយនេះឬ?
Don't worry about making mistakes.	កុំព្រួយបារម្ភពីការធ្វេីកំហុស។
I usually get up at eight o'clock.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
Our class has forty-five students.	ថ្នាក់យើង មានសិស្ស សែសិបប្រាំនាក់ ។
I think it's somewhere around here.	ខ្ញុំគិតថាវានៅកន្លែងណាមួយក្បែរៗនេះ។
That child caused a lot of trouble.	កូនគ្មេងនោះបានបង្ករបញ្ហាច្រើន។
Tom arrived at the party with Mary.	ថម មកដល់ពិធីជប់លៀងជាមួយ ម៉ារី ។
Tom isn't worried about his grades.	ថម អត់បារម្ភរឿងចំណាត់ថ្នាក់គាត់ទេ។
Tom isn't worried about his grades.	ថម អត់ខ្វល់អំពីចំណាត់ថ្នាក់គាត់ទេ។
I thought I heard something outside.	ខ្ញុំបានគិតថា ខ្ញុំបានឮសំឡេងអ្វីមួយនៅខាងក្រៅ។
This food doesn't taste good at all.	ម្ហូបនេះ មិនឆ្ងាញ់សោះ ។
We were certain of winning the game.	យើងបានប្រាកដថា យើងនឹងឈ្នះល្បែងនេះ។
You may bring whoever wants to come.	នរណាចង់ម៉ោ នាំម៉ោក៏បានដែរ ។
Eat more, or you won't gain strength.	ញ៉ាំឱ្យច្រើន បើមិនអញ្ចឹង អ្នកអត់មានកំលាំងទេ ។
I don't have anything to give to you.	ខ្ញុំគ្មានអ្វីឱ្យអ្នកទេ ។
I don't know anything about his past.	ខ្ញុំអត់ដឹងអីទាំងអស់អំពីរឿងអតីតកាលរបស់គាត់ ។
I don't know anything about his past.	ខ្ញុំអត់ដឹងអីផងអំពីអតីតកាលរបស់គាត់ ។
She stood looking out toward the sea.	នាងបានកំពុងឈរសំឡឹងទៅកាន់សមុទ្រ។
When we made fun of her, she blushed.	នៅពេលដែលយើងបង្អាប់លេងដាក់នាង មុខនាងឡើងក្រហម ។
I'm sorry I didn't come by last night.	សុំទោសដែលអត់បានមកយប់មិញ។
Tom ate the stew right out of the pot.	ថម ញុាំសម្លក្នុងឆ្នាំង!
You're not supposed to eat on the job.	អ្នកមិនគួរញ៉ាំនៅពេលធ្វើការទេ ។
Atoms cannot be seen with your own eye.	បរិមាណូមិនអាចមើលឃើញដោយភ្នែកទទេបានទេ ។
She gave birth to a daughter yesterday.	ម្សិលមិញ នាងបង្កើតបានកូនស្រីម្នាក់ ។
What is the difference between A and B?	តើ A និង B ខុសគ្នាយ៉ាងណា ?
I can read German, but I can't speak it.	ខ្ញុំចេះអានអាល្លឺម៉ង់ ប៉ុន្តែខ្ញុំមិនចេះនិយាយវាទេ ។
My credit card was stolen on the subway.	កាតឥណទានខ្ញុំត្រូវបានគេលួចនៅរថភ្លើងក្រោមដី ។
This book is easy enough for me to read.	សៀវភៅនេះ ត្រូវនឹងខ្ញុំស្រួលអាន ។
Tom often forgets to use his turn signal.	ថម គាត់តែងតែភ្លេចភ្លើងសីញ៉ូ។
He was a very smart lawyer and politician.	គាត់ជាមេធាវីហើយអ្នកនយោបាយឆ្លាតខ្លាំងណាស់។
Last night, we watched television together.	យប់មិញ មើលទូរទស្សន៍ជាមួយគា្ន ។
Newspapers lay scattered all over the floor.	កាសែតបានដាក់ដោយគ្មានសណ្តាប់ធ្នាប់ពាសពេញកំរាល ។
I was told that you might be able to help me.	មានគេប្រាប់ខ្ញុំថា អ្នកអាចជួយខ្ញុំបាន។
Tom told me he doesn't want to work with you.	ថម បានប្រាប់ខ្ញុំថា គាត់មិនចង់ធ្វើការរួមគ្នាជាមួយអ្នកទេ!
I like to think I know what I'm talking about.	ខ្ញុំចង់គិតថា ខ្ញុំដឹងអ្វីដែល ខ្ញុំនិយាយ ។
This cake contains flour, milk, eggs and sugar.	នំខេកនេះមានដាក់ម្សៅ ទឹកដោះគោ ពងមាន់ និង ស្ករ។
You still have a lot to learn about relationships.	អ្នកត្រូវការរៀនឲ្យច្រើនបន្ថែមទៀតស្តីអំពីសម្ព័ន្ធភាព។
Out of twenty students, only one has read the book.	ក្នុងនិស្សិតម្ភៃនាក់ តែម្នាក់បានអានសៀវភៅនោះ។
Do unto others as you would have others do unto you.	ចូរអ្នកធ្វើលើគេ ដូចដែលអ្នកចង់ឱ្យអ្នកដទៃធ្វើមកលើអ្នកវិញដូច្នេះដែរ ។
He is studying English, but he is also studying German.	គាត់រៀនភាសាអង់គ្លេស ប៉ុន្តែគាត់ក៏រៀនភាសាអាល្លឺម៉ង់ដែរ ។
What have you done with my pen? It was here a minute ago.	តើអ្នកមានយកប៊ិចខ្ញុំទេ? ព្រោះអីម៉ិញវានៅទីនេះតើ!
What have you done with my pen? It was here a minute ago.	តើអ្នកមានយកប៊ិចខ្ញុំទេ? ព្រោះអីម៉ិញវានៅទីនេះតើ។
Burj Khalifa is currently the tallest skyscraper in the world.	បច្ចុប្បន្ននេះ បឹច ខាលីហ្វា គឺជាអគារដែលខ្ពស់ជាងគេនៅលើពិភពលោក ។
I thought I told you that you should get to the concert early.	ខ្ញុំគិតថា ខ្ញុំបានប្រាប់អ្នកហើយ គួរតែទៅកន្លែងប្រគំតន្ត្រីឲ្យបានឆាប់ ។
I just want to be able to visit my children whenever I want to.	ខ្ញុំគ្រាន់តែចង់ទៅលេងកូនខ្ញុំតាមចិត្តខ្ញុំ ។
